split,cs_term,count
train,pemphigus,35
train,prednisone,35
train,quinolone,35
train,amalgam,34
train,glaucoma,34
train,Klinefelter,33
train,aceton,33
train,steroid,33
train,Chlamydia,32
train,Wilson,32
train,candesartan,32
train,pneumoniae,32
train,purin,32
train,Ebola,31
train,Fusarium,31
train,hocmon,31
train,phage,31
train,salicylic,31
train,Hashimoto,30
train,Norovirus,30
train,methionin,30
train,tetracyclin,30
train,Eisenmenger,29
train,Legionella,29
train,Salmonella,29
train,anserin,29
train,flavonoid,29
train,prolactin,29
train,threonine,29
train,colchicin,28
train,keto,28
train,modafinil,28
train,proteoglycan,28
train,Buerger,27
train,Francis,27
train,Klebsiella,27
train,cortisol,27
train,fructose,27
train,DiGeorge,26
train,amino,26
train,lactat,26
train,sarcoma,26
train,Baker,25
train,Gleason,25
train,Marek,25
train,lecithin,25
train,ANCA,24
train,Doppler,24
train,benzoic,24
train,carcinom,24
train,citrat,24
train,co,24
train,gastrin,24
train,DeBakey,23
train,Prader-Willi,23
train,carotenoit,23
train,fibrinogen,23
train,lipoic,23
train,Marfan,22
train,Mohs,22
train,Phenobarbital,22
train,nucleic,22
train,Capgras,21
train,RNA,21
train,apo,21
train,chloride,21
train,galactose,21
train,prion,21
train,progestin,21
train,Babesia,20
train,Ornithine,20
train,Virchow,20
train,adenosine,20
train,aldosteron,20
train,amyloid,20
train,peptide,20
train,shigella,20
train,strychnin,20
train,Cryptosporidium,19
train,Guyon,19
train,McCarthy,19
train,aminoglycoside,19
train,amylase,19
train,ferritin,19
train,retinol,19
train,ribosom,19
train,urat,19
train,B12,18
train,Berry,18
train,Huntington,18
train,Rett,18
train,aconitin,18
train,citrullin,18
train,cyclophosphamide,18
train,fibrin,18
train,interferon,18
train,myelin,18
train,nephron,18
train,oxalat,18
train,Bartter,17
train,REM,17
train,Schwann,17
train,Vater,17
train,acetyl,17
train,catheter,17
train,glycosid,17
train,hydrochloride,17
train,Barret,16
train,Calori,16
train,Ehlers-Danlos,16
train,Fanconi,16
train,Fontan,16
train,Golgi,16
train,Nipah,16
train,Raynaud,16
train,Ringer,16
train,acid,16
train,flavin,16
train,nitroglycerin,16
train,opioid,16
train,protease,16
train,Bethesda,15
train,Hartmann,15
train,Henle,15
train,Newcastle,15
train,Tarlov,15
train,Toxoplasma,15
train,cafein,15
train,doxycycline,15
train,elastin,15
train,glutathion,15
train,hemophili,15
train,B6,14
train,Bernard,14
train,Hunt,14
train,Takayasu,14
train,Warburg,14
train,catecholamin,14
train,cephalosporin,14
train,glycerin,14
train,glycerol,14
train,heparin,14
train,oxalate,14
train,porphyria,14
train,saccharose,14
train,Fitzpatrick,13
train,Fordyce,13
train,Patau,13
train,citric,13
train,morphin,13
train,phosphoric,13
train,pilocarpin,13
train,protit,13
train,secretin,13
train,Charnley,12
train,Clostridium,12
train,Horner,12
train,Langerhans,12
train,Madelung,12
train,Meckel,12
train,Naboth,12
train,Pasteur,12
train,Quincke,12
train,Sheehan,12
train,VA,12
train,Valsalva,12
train,dehydrogenase,12
train,hyalin,12
train,lipit,12
train,plasmodium,12
train,somatostatin,12
train,Balantidium,11
train,Borna,11
train,Gibson,11
train,Hodkin,11
train,Hutchinson,11
train,Lasègue,11
train,Quervain,11
train,acetaldehyde,11
train,acetylcystein,11
train,clorid,11
train,ehrlichia,11
train,hem,11
train,phenylalanin,11
train,pogonion,11
train,reductase,11
train,sialic,11
train,succinat,11
train,tic,11
train,Angiotensin,10
train,E. coli,10
train,Fowler,10
train,Jenner,10
train,Johnson,10
train,Lactate,10
train,Lister,10
train,Reye,10
train,Toxocara,10
train,Whipple,10
train,Wiskott-Aldrich,10
train,acetic,10
train,alcohol,10
train,amobarbital,10
train,bacillus,10
train,cholin,10
train,citrate,10
train,cortison,10
train,decarboxylase,10
train,glucoza,10
train,hematocrit,10
train,panh,10
train,peptit,10
train,phospholipid,10
train,proenzym,10
train,progesteron,10
train,renin,10
train,Behcet,9
train,CD8,9
train,Castleman,9
train,Flemming,9
train,Hayflick,9
train,Hoffa,9
train,Noonan,9
train,Pace,9
train,Vesalius,9
train,aminobenzoic,9
train,bacteriocin,9
train,basion,9
train,cimetidin,9
train,ligand,9
train,octreotide,9
train,synthase,9
train,synthetase,9
train,thiazid,9
train,Campylobacter,8
train,Heller,8
train,Howship-Romberg,8
train,II,8
train,Meissner,8
train,Peyronie,8
train,Richter,8
train,Somogyi,8
train,Verocay,8
train,Wegener,8
train,carnitin,8
train,cells,8
train,coronavirus,8
train,de Quervain,8
train,epinephrine,8
train,globin,8
train,glucagon,8
train,glycoprotein,8
train,hysteri,8
train,inositol,8
train,keratin,8
train,phenylceton,8
train,tryptophan,8
train,Aedes,7
train,Barraquer,7
train,Bell,7
train,COX-2,7
train,INR,7
train,Minamata,7
train,Mount,7
train,Pellagra,7
train,Peutz-Jeghers,7
train,Pompe,7
train,Pseudomonas,7
train,SLAP,7
train,acetat,7
train,arachidonic,7
train,argininosuccinic,7
train,brucella,7
train,catgut,7
train,clohydric,7
train,cystin,7
train,ester,7
train,glucan,7
train,glutamic,7
train,leptin,7
train,manitol,7
train,plasmin,7
train,solani,7
train,Apert,6
train,Babinski,6
train,Benedict,6
train,Bernard-Soulier,6
train,Broca,6
train,Duchenne,6
train,Glenn,6
train,Indole,6
train,Kimura,6
train,Klatskin,6
train,Koplik,6
train,Nile,6
train,Riemerella,6
train,Romberg,6
train,Rotavirus,6
train,Wellens,6
train,Wells,6
train,Williams,6
train,Zenker,6
train,Ziehl-Neelsen,6
train,buprenorphin,6
train,caroten,6
train,casein,6
train,ceramid,6
train,histidin,6
train,hormon,6
train,hydroclorid,6
train,kinase,6
train,lysin,6
train,methylene,6
train,monoxide,6
train,noradrenalin,6
train,oxyhemoglobin,6
train,tyrosine,6
train,vibrio,6
train,Apgar,5
train,Ebstein,5
train,Haglund,5
train,Kikuchi,5
train,Mallory-Weiss,5
train,Nielsen,5
train,PC,5
train,Sabin,5
train,Sweet,5
train,Trypanosoma,5
train,Wistar,5
train,benzoat,5
train,botilinum,5
train,fumarat,5
train,glycin,5
train,homocystin,5
train,mycobacterium,5
train,pseudoephedrin,5
train,ricin,5
train,sarcoid,5
train,thymin,5
train,transferrin,5
train,urobilin,5
train,Butyrate,4
train,Coombs,4
train,DEXA,4
train,Melkersson-Rosenthal,4
train,Nikolsky,4
train,Rivalta,4
train,butyrat,4
train,cacbohydrate,4
train,catalase,4
train,dextrin,4
train,isoleucin,4
train,norepinephrine,4
train,papaverin,4
train,ribosome,4
train,scorbut,4
train,vincristine,4
train,xanthin,4
train,Bowen,3
train,Lembert,3
train,Merkel,3
train,glucosid,3
train,immitis,3
train,trichomonas,3
train,Bartonella,2
train,Bowman,2
train,Brugada,2
train,Cajal,2
train,D3,2
train,Dirofilaria,2
train,Fabry,2
train,Fallop,2
train,Houston,2
train,Howell,2
train,Joseph,2
train,Kanner,2
train,Krebs,2
train,Morquio,2
train,Parvo,2
train,Pasteurella,2
train,Rhizoctonia,2
train,Riedel,2
train,SCID,2
train,Tyson,2
train,Urbach-Wiethe,2
train,Vinson,2
train,Wenckebach,2
train,Zollinger-Ellison,2
train,arecolin,2
train,aspartat,2
train,carboxyl,2
train,cholesteatoma,2
train,codein,2
train,cystein,2
train,echinocandin,2
train,falciparum,2
train,leucin,2
train,meropenem,2
train,mesalamine,2
train,monosaccharid,2
train,oleic,2
train,oxalic,2
train,polypeptide,2
train,polysaccharit,2
train,shunt,2
train,sphingolipid,2
train,tartaric,2
train,A3,1
train,B2,1
train,Baxter,1
train,Bazin,1
train,Bichat,1
train,Bifidobacterium,1
train,Bitot,1
train,Blaschko,1
train,Bochdalek,1
train,Bonnet,1
train,Bouveret,1
train,Boyer,1
train,Brown,1
train,Chiari,1
train,Corti,1
train,Culex,1
train,Darier,1
train,David,1
train,Douglas,1
train,ECHO,1
train,Fehling,1
train,Forbes,1
train,Freud,1
train,GNAS,1
train,Gartner,1
train,Gaucher,1
train,Gerson,1
train,Giemsa,1
train,Gillies,1
train,Glanzmann,1
train,Hawley,1
train,Hemangioma,1
train,Histoplasma,1
train,Horton,1
train,Ishihara,1
train,Isospora,1
train,Lallemand,1
train,Lamaze,1
train,Lane,1
train,Langhans,1
train,Lieberkuhn,1
train,Ludwig,1
train,MacConkey,1
train,Manson,1
train,McKenzie,1
train,Microsporum,1
train,Morita,1
train,Neri,1
train,Ogilvie,1
train,Onchocerca,1
train,Poirier,1
train,Russell,1
train,SV,1
train,Salk,1
train,Taipan,1
train,Thomas,1
train,Trichophiton,1
train,Voigt,1
train,Wada,1
train,Wernicke-Korsakoff,1
train,Wharton,1
train,Wolff-Parkinson-White,1
train,actin,1
train,adenin,1
train,aegypti,1
train,alpha-galactosidase,1
train,amidan,1
train,arginase,1
train,ase,1
train,asparagin,1
train,becberin,1
train,benzocain,1
train,bleomycin,1
train,candid,1
train,carcinôm,1
train,carnitine,1
train,cerebrosid,1
train,chitin,1
train,codon,1
train,creatin,1
train,cryoglobulin,1
train,cyclosporin,1
train,digitalin,1
train,ganglioside,1
train,globulin,1
train,gonadotropin,1
train,hapten,1
train,hemosiderin,1
train,hepatica,1
train,hyaluronidase,1
train,iod,1
train,leukotrien,1
train,leukotriene,1
train,lipopolysaccharid,1
train,macaca,1
train,maltose,1
train,methemoglobin,1
train,methotrexat,1
train,mineralocorticoid,1
train,myoglobin,1
train,nST,1
train,nucleoside,1
train,opsonin,1
train,palmitic,1
train,pentobarbital,1
train,propionic,1
train,purine,1
train,quinidin,1
train,retinoid,1
train,ribonucleotide,1
train,rifampin,1
train,rubeon,1
train,saccharomyces,1
train,salicylat,1
train,scopolamin,1
train,sucralfat,1
train,synap,1
train,tetani,1
train,triphosphate,1
train,valin,1
validation,virus,90
validation,gen,53
validation,oxy,51
validation,Vitamin,40
validation,colagen,39
validation,glucose,33
validation,inulin,24
validation,lipid,24
validation,vaccin,21
validation,corticoid,19
validation,hormone,19
validation,Candida,15
validation,Gram,15
